"count","date_day"
"1","2016-09-04"
"1","2016-09-05"
"1","2016-09-13"
"1","2016-09-15"
"1","2016-10-02"
"8","2016-10-03"
"63","2016-10-04"
"47","2016-10-05"
"51","2016-10-06"
"46","2016-10-07"
"42","2016-10-08"
"26","2016-10-09"
"39","2016-10-10"
"1","2016-10-22"
"1","2016-12-23"
"32","2017-01-05"
"4","2017-01-06"
"4","2017-01-07"
"6","2017-01-08"
"5","2017-01-09"
"6","2017-01-10"
"12","2017-01-11"
"13","2017-01-12"
"12","2017-01-13"
"18","2017-01-14"
"14","2017-01-15"
"19","2017-01-16"
"32","2017-01-17"
"33","2017-01-18"
"27","2017-01-19"
"29","2017-01-20"
"24","2017-01-21"
"31","2017-01-22"
"39","2017-01-23"
"40","2017-01-24"
"63","2017-01-25"
"86","2017-01-26"
"62","2017-01-27"
"29","2017-01-28"
"35","2017-01-29"
"53","2017-01-30"
"70","2017-01-31"
"73","2017-02-01"
"69","2017-02-02"
"60","2017-02-03"
"67","2017-02-04"
"75","2017-02-05"
"85","2017-02-06"
"112","2017-02-07"
"95","2017-02-08"
"77","2017-02-09"
"66","2017-02-10"
"49","2017-02-11"
"64","2017-02-12"
"78","2017-02-13"
"76","2017-02-14"
"62","2017-02-15"
"55","2017-02-16"
"43","2017-02-17"
"46","2017-02-18"
"39","2017-02-19"
"63","2017-02-20"
"41","2017-02-21"
"63","2017-02-22"
"59","2017-02-23"
"64","2017-02-24"
"43","2017-02-25"
"46","2017-02-26"
"43","2017-02-27"
"55","2017-02-28"
"99","2017-03-01"
"72","2017-03-02"
"74","2017-03-03"
"80","2017-03-04"
"74","2017-03-05"
"105","2017-03-06"
"82","2017-03-07"
"79","2017-03-08"
"93","2017-03-09"
"88","2017-03-10"
"71","2017-03-11"
"64","2017-03-12"
"111","2017-03-13"
"99","2017-03-14"
"108","2017-03-15"
"103","2017-03-16"
"65","2017-03-17"
"73","2017-03-18"
"56","2017-03-19"
"119","2017-03-20"
"97","2017-03-21"
"105","2017-03-22"
"114","2017-03-23"
"79","2017-03-24"
"76","2017-03-25"
"64","2017-03-26"
"111","2017-03-27"
"103","2017-03-28"
"74","2017-03-29"
"74","2017-03-30"
"70","2017-03-31"
"68","2017-04-01"
"65","2017-04-02"
"72","2017-04-03"
"96","2017-04-04"
"96","2017-04-05"
"96","2017-04-06"
"85","2017-04-07"
"68","2017-04-08"
"73","2017-04-09"
"87","2017-04-10"
"78","2017-04-11"
"63","2017-04-12"
"60","2017-04-13"
"54","2017-04-14"
"52","2017-04-15"
"49","2017-04-16"
"65","2017-04-17"
"71","2017-04-18"
"97","2017-04-19"
"98","2017-04-20"
"68","2017-04-21"
"84","2017-04-22"
"88","2017-04-23"
"115","2017-04-24"
"111","2017-04-25"
"125","2017-04-26"
"80","2017-04-27"
"98","2017-04-28"
"74","2017-04-29"
"68","2017-04-30"
"117","2017-05-01"
"128","2017-05-02"
"103","2017-05-03"
"109","2017-05-04"
"111","2017-05-05"
"109","2017-05-06"
"111","2017-05-07"
"124","2017-05-08"
"128","2017-05-09"
"116","2017-05-10"
"126","2017-05-11"
"115","2017-05-12"
"73","2017-05-13"
"112","2017-05-14"
"157","2017-05-15"
"153","2017-05-16"
"141","2017-05-17"
"125","2017-05-18"
"144","2017-05-19"
"72","2017-05-20"
"148","2017-05-21"
"148","2017-05-22"
"125","2017-05-23"
"142","2017-05-24"
"107","2017-05-25"
"80","2017-05-26"
"83","2017-05-27"
"98","2017-05-28"
"160","2017-05-29"
"105","2017-05-30"
"129","2017-05-31"
"124","2017-06-01"
"127","2017-06-02"
"89","2017-06-03"
"102","2017-06-04"
"147","2017-06-05"
"134","2017-06-06"
"129","2017-06-07"
"137","2017-06-08"
"108","2017-06-09"
"77","2017-06-10"
"115","2017-06-11"
"126","2017-06-12"
"126","2017-06-13"
"131","2017-06-14"
"108","2017-06-15"
"97","2017-06-16"
"75","2017-06-17"
"90","2017-06-18"
"156","2017-06-19"
"94","2017-06-20"
"35","2017-06-21"
"88","2017-06-22"
"107","2017-06-23"
"76","2017-06-24"
"105","2017-06-25"
"72","2017-06-26"
"141","2017-06-27"
"120","2017-06-28"
"114","2017-06-29"
"95","2017-06-30"
"80","2017-07-01"
"108","2017-07-02"
"118","2017-07-03"
"125","2017-07-04"
"145","2017-07-05"
"154","2017-07-06"
"121","2017-07-07"
"84","2017-07-08"
"94","2017-07-09"
"143","2017-07-10"
"165","2017-07-11"
"153","2017-07-12"
"137","2017-07-13"
"149","2017-07-14"
"98","2017-07-15"
"114","2017-07-16"
"168","2017-07-17"
"192","2017-07-18"
"153","2017-07-19"
"142","2017-07-20"
"115","2017-07-21"
"88","2017-07-22"
"105","2017-07-23"
"162","2017-07-24"
"153","2017-07-25"
"124","2017-07-26"
"124","2017-07-27"
"132","2017-07-28"
"115","2017-07-29"
"117","2017-07-30"
"148","2017-07-31"
"165","2017-08-01"
"157","2017-08-02"
"148","2017-08-03"
"142","2017-08-04"
"115","2017-08-05"
"109","2017-08-06"
"157","2017-08-07"
"146","2017-08-08"
"144","2017-08-09"
"157","2017-08-10"
"141","2017-08-11"
"98","2017-08-12"
"96","2017-08-13"
"159","2017-08-14"
"194","2017-08-15"
"174","2017-08-16"
"158","2017-08-17"
"147","2017-08-18"
"108","2017-08-19"
"104","2017-08-20"
"177","2017-08-21"
"138","2017-08-22"
"112","2017-08-23"
"128","2017-08-24"
"123","2017-08-25"
"93","2017-08-26"
"119","2017-08-27"
"155","2017-08-28"
"137","2017-08-29"
"181","2017-08-30"
"149","2017-08-31"
"158","2017-09-01"
"104","2017-09-02"
"125","2017-09-03"
"150","2017-09-04"
"157","2017-09-05"
"140","2017-09-06"
"99","2017-09-07"
"116","2017-09-08"
"106","2017-09-09"
"136","2017-09-10"
"180","2017-09-11"
"206","2017-09-12"
"207","2017-09-13"
"166","2017-09-14"
"150","2017-09-15"
"129","2017-09-16"
"126","2017-09-17"
"183","2017-09-18"
"154","2017-09-19"
"163","2017-09-20"
"150","2017-09-21"
"138","2017-09-22"
"88","2017-09-23"
"118","2017-09-24"
"136","2017-09-25"
"180","2017-09-26"
"147","2017-09-27"
"143","2017-09-28"
"120","2017-09-29"
"109","2017-09-30"
"128","2017-10-01"
"143","2017-10-02"
"198","2017-10-03"
"157","2017-10-04"
"140","2017-10-05"
"130","2017-10-06"
"105","2017-10-07"
"126","2017-10-08"
"193","2017-10-09"
"185","2017-10-10"
"158","2017-10-11"
"143","2017-10-12"
"154","2017-10-13"
"116","2017-10-14"
"121","2017-10-15"
"195","2017-10-16"
"202","2017-10-17"
"179","2017-10-18"
"176","2017-10-19"
"124","2017-10-20"
"113","2017-10-21"
"158","2017-10-22"
"161","2017-10-23"
"164","2017-10-24"
"156","2017-10-25"
"144","2017-10-26"
"133","2017-10-27"
"88","2017-10-28"
"132","2017-10-29"
"149","2017-10-30"
"160","2017-10-31"
"111","2017-11-01"
"124","2017-11-02"
"143","2017-11-03"
"111","2017-11-04"
