"period","starting_customers","new_customers","departed_customers","ending_customers","retention_rate"
"2016-09 to 2016-09","0","4","0","4",NULL
"2016-09 to 2016-10","4","321","4","321","0.0"
"2016-09 to 2016-11","325","0","316","9","2.8"
"2016-09 to 2016-12","325","1","316","10","2.8"
"2016-09 to 2017-01","326","695","316","705","3.1"
"2016-09 to 2017-02","1021","1807","875","1953","14.3"
"2016-09 to 2017-03","2828","2421","2684","2565","5.1"
"2016-09 to 2017-04","5249","2428","4985","2692","5.0"
"2016-09 to 2017-05","7677","3348","7342","3683","4.4"
"2016-09 to 2017-06","11025","3323","10590","3758","3.9"
"2016-09 to 2017-07","14348","3729","13811","4266","3.7"
"2016-09 to 2017-08","18077","4100","17460","4717","3.4"
"2016-09 to 2017-09","22177","4360","21455","5082","3.3"
"2016-09 to 2017-10","26537","4265","25760","5042","2.9"
"2016-09 to 2017-11","30802","7155","30054","7903","2.4"
"2016-09 to 2017-12","37957","5761","36894","6824","2.8"
"2016-09 to 2018-01","43718","6590","42888","7420","1.9"
"2016-09 to 2018-02","50308","7186","49474","8020","1.7"
"2016-09 to 2018-03","57494","6462","56510","7446","1.7"
"2016-09 to 2018-04","63956","6815","63098","7673","1.3"
"2016-09 to 2018-05","70771","6615","70039","7347","1.0"
"2016-09 to 2018-06","77386","6054","76795","6645","0.8"
"2016-09 to 2018-07","83440","5581","82900","6121","0.6"
"2016-09 to 2018-08","89021","7032","88649","7404","0.4"
"2016-09 to 2018-09","96053","19","95996","76","0.1"
"2016-09 to 2018-10","96072","2","96069","5","0.0"
