geolocation_zip_code_prefix,lat_d_mean,lng_d_mean,city,state
1001,-23.55027123580127,-46.63404671419185,sao paulo,SP
1003,-23.548991491863838,-46.63565342364827,sao paulo,SP
1004,-23.54982914119189,-46.63479202950875,sao paulo,SP
1005,-23.549487008784876,-46.636650259509196,sao paulo,SP
1006,-23.550126527377724,-46.636044497481514,sao paulo,SP
1007,-23.55042735664924,-46.63700392573383,sao paulo,SP
1008,-23.545832387811174,-46.6357748568096,sao paulo,SP
1009,-23.54632248579456,-46.636230830428694,sao paulo,SP
1011,-23.546635787708862,-46.63541799110013,sao paulo,SP
1012,-23.54780758661154,-46.63484393782474,sao paulo,SP
1013,-23.547173615806592,-46.63423526618314,sao paulo,SP
1014,-23.546137052876432,-46.633596671856715,sao paulo,SP
1015,-23.54745327868584,-46.632179646940735,sao paulo,SP
1016,-23.549094879405775,-46.63211163854847,sao paulo,SP
1017,-23.549455625081205,-46.63130341133385,sao paulo,SP
1019,-23.551732792802593,-46.630875188185215,sao paulo,SP
1020,-23.552410650175574,-46.62999015904388,sao paulo,SP
1021,-23.54207195467707,-46.63224324217306,sao paulo,SP
1022,-23.544506844829197,-46.632228904107144,sao paulo,SP
1023,-23.542476540346616,-46.63139551195832,sao paulo,SP
1024,-23.54149784035131,-46.62994469593739,sao paulo,SP
1025,-23.540481578993486,-46.631699590621245,sao paulo,SP
1026,-23.539415325995133,-46.63280834443853,sao paulo,SP
1027,-23.538098874534025,-46.63047096147643,sao paulo,SP
1030,-23.539647057230646,-46.63295328926658,sao paulo,SP
1031,-23.54237251504288,-46.63523736403207,sao paulo,SP
1032,-23.540544340327337,-46.63524818090083,sao paulo,SP
1033,-23.53889504462319,-46.63599196131405,sao paulo,SP
1035,-23.54177194468869,-46.64130667638727,sao paulo,SP
1036,-23.54190490404738,-46.640961984988884,sao paulo,SP
1037,-23.545665602524775,-46.63924466518798,sao paulo,SP
1038,-23.544398701136828,-46.64067665953602,sao paulo,SP
1039,-23.541341792236153,-46.63909044885898,sao paulo,SP
1040,-23.540593527303496,-46.63776116797196,sao paulo,SP
1041,-23.54405267064933,-46.63986805370139,sao paulo,SP
1042,-23.54494768831022,-46.64025422748261,sao paulo,SP
1043,-23.545752314880374,-46.64148143916985,sao paulo,SP
1044,-23.545556845099416,-46.64150085333575,sao paulo,SP
1045,-23.54245035597841,-46.642711107639954,sao paulo,SP
1046,-23.54583927014979,-46.643721865875705,sao paulo,SP
1047,-23.546093892861713,-46.64094913993112,sao paulo,SP
1048,-23.547043330954565,-46.6397720136236,sao paulo,SP
1049,-23.547460308793546,-46.639581800897325,sao paulo,SP
1050,-23.549161721895352,-46.642954708836676,sao paulo,SP
1102,-23.527933367471725,-46.630953438055755,sao paulo,SP
1103,-23.535421019980966,-46.631727,sao paulo,SP
1105,-23.53414060571284,-46.629282549200724,sao paulo,SP
1106,-23.53015603403614,-46.628127048753164,sao paulo,SP
1107,-23.527411272407097,-46.62818974523776,sao paulo,SP
1108,-23.527232171325494,-46.630354418199865,sao paulo,SP
1120,-23.529895160257517,-46.639657454198336,sao paulo,SP
1121,-23.5277863029315,-46.635196434889046,sao paulo,SP
1122,-23.531053905644548,-46.638846074973145,sao paulo,SP
1123,-23.529175597751028,-46.63645682745802,sao paulo,SP
1124,-23.528345087542416,-46.63338712437373,sao paulo,SP
1125,-23.526861009171785,-46.64012706634985,sao paulo,SP
1126,-23.52736625075709,-46.63962730901831,sao paulo,SP
1127,-23.52598317536888,-46.642054729995486,sao paulo,SP
1129,-23.523830364662437,-46.64380226016742,sao paulo,SP
1131,-23.52250157414556,-46.645549336315746,sao paulo,SP
1132,-23.52120591257429,-46.649335241420914,sao paulo,SP
1134,-23.51867680707737,-46.6531159131789,sao paulo,SP
1135,-23.526946027530617,-46.64997309549342,sao paulo,SP
1136,-23.52432454611428,-46.66049298346615,sao paulo,SP
1137,-23.52312961452783,-46.65283249586116,sao paulo,SP
1138,-23.52225459256161,-46.655486140900614,sao paulo,SP
1139,-23.520928621712923,-46.66391790285102,sao paulo,SP
1140,-23.52001493965306,-46.669527160383666,sao paulo,SP
1141,-23.518930531021823,-46.665645116010694,sao paulo,SP
1144,-23.52367085746025,-46.672261051598795,sao paulo,SP
1150,-23.532682921368103,-46.658748059948245,sao paulo,SP
1151,-23.531142559514596,-46.656815565862644,sao paulo,SP
1152,-23.530101947182605,-46.6559648313081,sao paulo,SP
1153,-23.5312465501522,-46.65256702646189,sao paulo,SP
1154,-23.5301682551029,-46.65940521405175,sao paulo,SP
1155,-23.52952335783859,-46.663081097899635,sao paulo,SP
1156,-23.529831613421983,-46.66480216284539,sao paulo,SP
1201,-23.53610422438886,-46.649675922342844,sao paulo,SP
1202,-23.534110722426565,-46.647941286364585,sao paulo,SP
1203,-23.535596152013277,-46.645583741753796,sao paulo,SP
1204,-23.536115643341596,-46.64401444349138,sao paulo,SP
1205,-23.535257928569862,-46.64365110248893,sao paulo,SP
1206,-23.535609198378147,-46.64303052601135,sao paulo,SP
1207,-23.53918927899999,-46.638641793031,sao paulo,SP
1208,-23.53813295562946,-46.638809997297585,sao paulo,SP
1209,-23.5407217737808,-46.641502856685065,sao paulo,SP
1210,-23.539805975121677,-46.64179862879382,sao paulo,SP
1211,-23.537308487522797,-46.64934768623507,sao paulo,SP
1212,-23.537375872022448,-46.639068168381385,sao paulo,SP
1213,-23.536564810420114,-46.64037236442181,sao paulo,SP
1214,-23.538556666489388,-46.64481039298497,sao paulo,SP
1215,-23.536149944123952,-46.64770128038179,sao paulo,SP
1216,-23.53272677573851,-46.64703025505133,sao paulo,SP
1217,-23.53264208988101,-46.64925980247648,sao paulo,SP
1218,-23.5307799412937,-46.647523585173076,sao paulo,SP
1219,-23.541474758716078,-46.6454333931964,sao paulo,SP
1220,-23.544569550467557,-46.64614815434244,sao paulo,SP
1221,-23.544511550646625,-46.648171366857795,sao paulo,SP
1222,-23.54596241708477,-46.649588741269724,sao paulo,SP
1223,-23.544162932258494,-46.64913067770511,sao paulo,SP
1224,-23.541603353516255,-46.652670422318245,sao paulo,SP
1225,-23.53990501810902,-46.64915979883602,sao paulo,SP
1226,-23.538534276708006,-46.65291428653511,sao paulo,SP
1227,-23.549104382345654,-46.65960539111818,sao paulo,SP
1228,-23.548344717942268,-46.65933644278183,sao paulo,SP
1229,-23.538740260262838,-46.656893199833945,sao paulo,SP
1230,-23.536716170403153,-46.65771321500252,sao paulo,SP
1231,-23.536922787577705,-46.6595977832908,sao paulo,SP
1232,-23.536307598376276,-46.6581552920985,sao paulo,SP
1233,-23.536862800004325,-46.661881452582534,sao paulo,SP
1234,-23.53898199150329,-46.66405733603435,sao paulo,SP
1235,-23.53726656820057,-46.6650642595746,sao paulo,SP
1237,-23.54309707468549,-46.6685424820243,sao paulo,SP
1238,-23.542646948495662,-46.65447095013924,sao paulo,SP
1239,-23.547325202030315,-46.65582292642228,sao paulo,SP
1240,-23.543622305586943,-46.658981016669685,sao paulo,SP
1241,-23.545438411639765,-46.657986750146655,sao paulo,SP
1242,-23.546330752349018,-46.6590146628787,sao paulo,SP
1243,-23.548189790553735,-46.659271382572335,sao paulo,SP
1244,-23.55027326656912,-46.661753336820354,sao paulo,SP
1246,-23.553441590458153,-46.66644317663166,sao paulo,SP
1248,-23.547455571440935,-46.668306606327555,sao paulo,SP
1250,-23.54779687351804,-46.672063168688,sao paulo,SP
1251,-23.54849183191139,-46.67501198265248,sao paulo,SP
1252,-23.541762241727945,-46.67983781194653,sao paulo,SP
1253,-23.544929126352915,-46.679164692087,sao paulo,SP
1254,-23.54408420241917,-46.68125149138673,sao paulo,SP
1255,-23.546247336685074,-46.681711487722076,sao paulo,SP
1256,-23.54769704274337,-46.68297314757341,são paulo,SP
1257,-23.543494496603447,-46.688161060445125,sao paulo,SP
1258,-23.5439220737589,-46.68640619940932,sao paulo,SP
1259,-23.541164531288793,-46.68575563708778,sao paulo,SP
1301,-23.5494038137445,-46.65082816296041,sao paulo,SP
1302,-23.548475154731417,-46.6488577542952,sao paulo,SP
1303,-23.549335024517955,-46.648887388893804,sao paulo,SP
1304,-23.554147503027984,-46.65523616010286,sao paulo,SP
1305,-23.553370364353082,-46.65387993940218,sao paulo,SP
1306,-23.553959358992632,-46.649758315180755,sao paulo,SP
1307,-23.55262479406212,-46.65276393562375,sao paulo,SP
1308,-23.555939957632177,-46.65319981642532,sao paulo,SP
1309,-23.555328566384972,-46.658529164215,sao paulo,SP
1310,-23.561105936599564,-46.65664324344696,sao paulo,SP
1311,-23.564156966861862,-46.65278496802591,sao paulo,SP
1312,-23.5546249190881,-46.64959300243556,sao paulo,SP
1313,-23.555887173885306,-46.65028909100723,sao paulo,SP
1314,-23.552605802596478,-46.64532635286218,sao paulo,SP
1315,-23.55365141770898,-46.640540926460474,sao paulo,SP
1316,-23.553067263824644,-46.63950037873409,sao paulo,SP
1317,-23.55515500582653,-46.639235515794155,sao paulo,SP
1318,-23.561868637549388,-46.64474450883076,sao paulo,SP
1319,-23.55191545842861,-46.64088498676803,sao paulo,SP
1320,-23.557930344770263,-46.63921054933342,sao paulo,SP
1321,-23.561494241762762,-46.64175906938368,sao paulo,SP
1322,-23.563256383654277,-46.64356850228038,sao paulo,SP
1323,-23.565851690336824,-46.64143617338013,sao paulo,SP
1324,-23.55649310178902,-46.64312995739949,sao paulo,SP
1325,-23.55725466007191,-46.64453341915106,sao paulo,SP
1326,-23.557052932565558,-46.64541530084662,sao paulo,SP
1327,-23.56544442153586,-46.644950829972295,sao paulo,SP
1328,-23.55551561066078,-46.64712739336922,sao paulo,SP
1329,-23.561908093973006,-46.64717194771769,sao paulo,SP
1330,-23.559001893446474,-46.649412956054945,sao paulo,SP
1331,-23.56230254246311,-46.65007302316401,sao paulo,SP
1332,-23.55989911060326,-46.65277560560845,sao paulo,SP
1333,-23.566244633372765,-46.64769498883553,sao paulo,SP
1401,-23.576949224970637,-46.660065330864214,sao paulo,SP
1402,-23.578211167638862,-46.661431325997654,sao paulo,SP
1403,-23.569486610321214,-46.65405193688722,sao paulo,SP
1404,-23.569238386793334,-46.65645895705836,sao paulo,SP
1405,-23.564946254958976,-46.65528553226931,sao paulo,SP
1406,-23.574437007517226,-46.66958930759093,sao paulo,SP
1407,-23.57795916797101,-46.674052204890806,sao paulo,SP
1408,-23.56745318653212,-46.661165221660816,sao paulo,SP
1409,-23.562816416670174,-46.65966607724275,sao paulo,SP
1410,-23.56407676690007,-46.662225399695366,sao paulo,SP
1411,-23.56482589342703,-46.664446946937005,sao paulo,SP
1412,-23.56343278505745,-46.66579860353516,sao paulo,SP
