"rfm_cell","rfm_segment_description","count"
"111","Недавние, частые, высокий чек","11"
"121","Недавние, не очень часто, высокий чек","816"
"122","Недавние, не очень часто, средний чек","228"
"123","Недавние, не очень часто, низкий чек","45"
"131","Недавние, редкие, высокий чек","10246"
"132","Недавние, редкие, средний чек","10284"
"133","Недавние, редкие, низкий чек","10138"
"211","Средней давности, частые, высокий чек","7"
"221","Средней давности, не очень часто, высокий чек","768"
"222","Средней давности, не очень часто, средний чек","210"
"223","Средней давности, не очень часто, низкий чек","29"
"231","Средней давности, редкие, высокий чек","10083"
"232","Средней давности, редкие, средний чек","10043"
"233","Средней давности, редкие, низкий чек","10630"
"312","Давние, частые, средний чек","1"
"321","Давние, не очень часто, высокий чек","605"
"322","Давние, не очень часто, средний чек","231"
"323","Давние, не очень часто, низкий чек","45"
"331","Давние, редкие, высокий чек","10131"
"332","Давние, редкие, средний чек","10710"
"333","Давние, редкие, низкий чек","10812"
